Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:32:07:460,Multiple Confirm,1,0,1,1,1701,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.Air_and_Sea_transport.htm,,,,,,,,1463,237,,0x808080ff,0,0,0,0,0,0,0,0,237,237,0,0,0,0,0,0,272.5354156,459,109,14,,
16:32:13:808,Multiple Confirm,1,0,1,3,3914,file:///C:/wikipedia-schools-3.0.1/wp/a/Aircraft.htm,,,,,,,,3702,212,,0x808080ff,0,0,0,0,0,0,0,0,211,0,211,0,0,0,0,0,753.5,381.5,53,19,,
16:32:18:590,Multiple Confirm,1,0,1,1,2313,file:///C:/wikipedia-schools-3.0.1/wp/j/Jet_engine.htm,,,,,,,,1905,408,,0x808080ff,0,0,0,0,0,0,0,0,407,407,0,0,0,0,0,0,669.5546875,250.5,80,19,,
16:32:24:484,Multiple Confirm,1,0,1,2,3392,file:///C:/wikipedia-schools-3.0.1/wp/i/Isaac_Newton.htm,,,,,,,25,1603,1764,,0x808080ff,0,0,0,0,0,0,0,0,852,612,0,0,0,0,0,0,703.6171875,178.5,68,19,,
16:32:29:199,Multiple Confirm,1,0,1,3,2231,file:///C:/wikipedia-schools-3.0.1/wp/c/Church_of_England.htm,,,,,,,,2020,211,,0x808080ff,0,0,0,0,0,0,0,0,211,0,211,0,0,0,0,0,377.6796875,826.5,135,19,,
16:32:33:705,Multiple Confirm,1,0,1,6,2041,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,,,,,,,,1831,209,,0x808080ff,0,0,0,0,0,0,0,0,209,0,209,0,0,0,0,0,88.11529541,242.5,63,15,,
16:32:38:352,Multiple Confirm,1,0,1,4,2202,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.htm,,,,,,,,1989,212,,0x808080ff,0,0,0,0,0,0,0,0,211,211,0,0,0,0,0,0,88.45910645,181.5,63,17,,
16:32:42:940,Multiple Confirm,1,0,1,4,2141,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,,,,,,,,1935,205,,0x808080ff,0,0,0,0,0,0,0,0,205,0,205,0,0,0,0,0,88.26295471,502.5,47,15,,
16:32:47:538,Multiple Confirm,1,0,1,2,2166,file:///C:/wikipedia-schools-3.0.1/wp/t/Thermodynamics.htm,,,,,,,,1952,213,,0x808080ff,0,0,0,0,0,0,0,0,213,0,213,0,0,0,0,0,280.5,783.5,125,19,,
16:35:10:242,Mouse,1,0,1,1,732,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Business_Studies.Economics.htm,610,,,,,,,,,121,,,,,,,,,,,,,,,,,,848.7015381,513,65,14,,
16:35:13:426,Mouse,1,0,1,4,754,file:///C:/wikipedia-schools-3.0.1/wp/c/Capitalism.htm,562,,,,,,,,,191,,,,,,,,,,,,,,,,,,870.5,395.5,77,19,,
16:35:16:890,Mouse,1,0,1,2,962,file:///C:/wikipedia-schools-3.0.1/wp/p/Political_economy.htm,809,,,,,,,,,152,,,,,,,,,,,,,,,,,,599.5703125,338.5,141,19,,
16:35:20:202,Mouse,1,0,1,6,874,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,,,,,,,,,,874,,,,,,,,,,,,,,,,,,87.85051346,262.5,55,15,,
16:35:23:347,Mouse,1,0,1,6,714,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,,,,,,,,,,713,,,,,,,,,,,,,,,,,,87.80323029,282.5,131,15,,
16:35:27:027,Mouse,1,0,1,4,1247,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,1082,,,,,,,,,164,,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,
16:35:30:466,Mouse,1,0,1,1,1005,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.Biology.htm,852,,,,,,,,,153,,,,,,,,,,,,,,,,,,273.4898376,525,47,14,,
16:35:33:819,Mouse,1,0,1,4,914,file:///C:/wikipedia-schools-3.0.1/wp/a/Aquarium.htm,791,,,,,,,,,122,,,,,,,,,,,,,,,,,,699.5,795.5,71,19,,
